Region,Year,income_percap
Africa,1900,983
Africa,1901,994
Africa,1902,1016
Africa,1903,1055
Africa,1904,1064
Africa,1905,1081
Africa,1906,1102
Africa,1907,1109
Africa,1908,1085
Africa,1909,1101
Africa,1910,1078
Africa,1911,1090
Africa,1912,1098
Africa,1913,1106
Africa,1914,1117
Africa,1915,1134
Africa,1916,1143
Africa,1917,1158
Africa,1918,1163
Africa,1919,1197
Africa,1920,1201
Africa,1921,1214
Africa,1922,1234
Africa,1923,1250
Africa,1924,1267
Africa,1925,1287
Africa,1926,1304
Africa,1927,1316
Africa,1928,1343
Africa,1929,1352
Africa,1930,1347
Africa,1931,1351
Africa,1932,1359
Africa,1933,1392
Africa,1934,1429
Africa,1935,1469
Africa,1936,1509
Africa,1937,1544
Africa,1938,1544
Africa,1939,1574
Africa,1940,1602
Africa,1941,1627
Africa,1942,1646
Africa,1943,1663
Africa,1944,1684
Africa,1945,1702
Africa,1946,1719
Africa,1947,1728
Africa,1948,1766
Africa,1949,1784
Africa,1950,1830
Africa,1951,1885
Africa,1952,1916
Africa,1953,1948
Africa,1954,2004
Africa,1955,2037
Africa,1956,2088
Africa,1957,2114
Africa,1958,2121
Africa,1959,2190
Africa,1960,2242
Africa,1961,2239
Africa,1962,2211
Africa,1963,2321
Africa,1964,2399
Africa,1965,2463
Africa,1966,2459
Africa,1967,2450
Africa,1968,2502
Africa,1969,2613
Africa,1970,2752
Africa,1971,2793
Africa,1972,2851
Africa,1973,2891
Africa,1974,2990
Africa,1975,2966
Africa,1976,3080
Africa,1977,3133
Africa,1978,3139
Africa,1979,3194
Africa,1980,3250
Africa,1981,3208
Africa,1982,3228
Africa,1983,3175
Africa,1984,3180
Africa,1985,3196
Africa,1986,3167
Africa,1987,3127
Africa,1988,3175
Africa,1989,3205
Africa,1990,3167
Africa,1991,3127
Africa,1992,3072
Africa,1993,3028
Africa,1994,3032
Africa,1995,3069
Africa,1996,3168
Africa,1997,3220
Africa,1998,3268
Africa,1999,3312
Africa,2000,3375
Africa,2001,3459
Africa,2002,3562
Africa,2003,3668
Africa,2004,3801
Africa,2005,3931
Africa,2006,4084
Africa,2007,4250
Africa,2008,4376
Africa,2009,4416
Africa,2010,4530
Africa,2011,4521
Africa,2012,4637
Africa,2013,4700
Africa,2014,4754
Africa,2015,4783
Africa,2016,4765
Africa,2017,4807
Africa,2018,4845
Africa,2019,4872
Africa,2020,4628
Asia,1900,1236
Asia,1901,1239
Asia,1902,1261
Asia,1903,1278
Asia,1904,1275
